product_offer_reference,stock_name,quantity,is_never_out_of_stock
offer199,Office King MER000009 Warehouse 1,10,0
offer200,Office King MER000009 Warehouse 1,10,1
offer201,Office King MER000009 Warehouse 1,10,0
offer202,Office King MER000009 Warehouse 1,10,0
offer203,Office King MER000009 Warehouse 1,10,1
offer204,Office King MER000009 Warehouse 1,10,1
offer205,Office King MER000009 Warehouse 1,10,0
offer206,Office King MER000009 Warehouse 1,10,1
offer207,Office King MER000009 Warehouse 1,10,1
offer208,Office King MER000009 Warehouse 1,10,0
offer209,Office King MER000009 Warehouse 1,10,1
offer210,Office King MER000009 Warehouse 1,10,0
offer211,Office King MER000009 Warehouse 1,10,0
offer212,Office King MER000009 Warehouse 1,10,1
offer213,Office King MER000009 Warehouse 1,10,0
offer214,Office King MER000009 Warehouse 1,10,1
offer215,Office King MER000009 Warehouse 1,10,1
offer216,Office King MER000009 Warehouse 1,10,0
offer217,Office King MER000009 Warehouse 1,10,1
offer218,Office King MER000009 Warehouse 1,10,0
offer219,Office King MER000009 Warehouse 1,10,1
offer220,Office King MER000009 Warehouse 1,10,1
offer221,Office King MER000009 Warehouse 1,10,0
offer222,Office King MER000009 Warehouse 1,10,1
offer223,Office King MER000009 Warehouse 1,10,0
offer224,Office King MER000009 Warehouse 1,10,1
offer225,Office King MER000009 Warehouse 1,10,0
offer226,Office King MER000009 Warehouse 1,10,1
offer227,Office King MER000009 Warehouse 1,10,0
offer228,Office King MER000009 Warehouse 1,10,1
offer229,Office King MER000009 Warehouse 1,10,0
offer230,Budget Stationery MER000010 Warehouse 1,10,0
offer231,Budget Stationery MER000010 Warehouse 1,10,1
offer232,Budget Stationery MER000010 Warehouse 1,10,1
offer233,Budget Stationery MER000010 Warehouse 1,10,0
offer234,Budget Stationery MER000010 Warehouse 1,10,1
offer235,Budget Stationery MER000010 Warehouse 1,10,1
offer236,Budget Stationery MER000010 Warehouse 1,10,0
offer237,Budget Stationery MER000010 Warehouse 1,10,0
offer238,Budget Stationery MER000010 Warehouse 1,10,1
offer239,Budget Stationery MER000010 Warehouse 1,10,0
offer240,Budget Stationery MER000010 Warehouse 1,10,1
offer241,Budget Stationery MER000010 Warehouse 1,10,1
offer242,Budget Stationery MER000010 Warehouse 1,10,1
offer243,Budget Stationery MER000010 Warehouse 1,10,1
offer244,Budget Stationery MER000010 Warehouse 1,10,1
offer245,Budget Stationery MER000010 Warehouse 1,10,1
offer246,Budget Stationery MER000010 Warehouse 1,10,0
offer247,Budget Stationery MER000010 Warehouse 1,10,1
offer248,Budget Stationery MER000010 Warehouse 1,10,0
offer249,Budget Stationery MER000010 Warehouse 1,10,0
offer250,Budget Stationery MER000010 Warehouse 1,10,0
offer251,Budget Stationery MER000010 Warehouse 1,10,1
offer252,Budget Stationery MER000010 Warehouse 1,10,0
offer253,Budget Stationery MER000010 Warehouse 1,10,0
offer254,Budget Stationery MER000010 Warehouse 1,10,1
offer255,Budget Stationery MER000010 Warehouse 1,10,1
offer256,Budget Stationery MER000010 Warehouse 1,10,0
offer257,Budget Stationery MER000010 Warehouse 1,10,0
offer258,Budget Stationery MER000010 Warehouse 1,10,1
offer259,Budget Stationery MER000010 Warehouse 1,10,0
offer260,Budget Stationery MER000010 Warehouse 1,10,1
offer261,Budget Stationery MER000010 Warehouse 1,10,0
offer262,Budget Stationery MER000010 Warehouse 1,10,1
offer263,Budget Stationery MER000010 Warehouse 1,10,0
offer264,Budget Stationery MER000010 Warehouse 1,10,1
offer265,Budget Stationery MER000010 Warehouse 1,10,1
offer266,Budget Stationery MER000010 Warehouse 1,10,1
offer267,Budget Stationery MER000010 Warehouse 1,10,0
offer268,Budget Stationery MER000010 Warehouse 1,10,0
offer269,Budget Stationery MER000010 Warehouse 1,10,1
offer270,Budget Stationery MER000010 Warehouse 1,10,0
offer271,Budget Stationery MER000010 Warehouse 1,10,0
offer272,Budget Stationery MER000010 Warehouse 1,10,1
offer273,Budget Stationery MER000010 Warehouse 1,10,0
offer274,Budget Stationery MER000010 Warehouse 1,10,0
offer275,Budget Stationery MER000010 Warehouse 1,10,1
offer276,Budget Stationery MER000010 Warehouse 1,10,1
offer277,Budget Stationery MER000010 Warehouse 1,10,0
offer278,Budget Stationery MER000010 Warehouse 1,10,0
offer279,Budget Stationery MER000010 Warehouse 1,10,0
offer280,Budget Stationery MER000010 Warehouse 1,10,1
offer281,Budget Stationery MER000010 Warehouse 1,10,1
offer282,Budget Stationery MER000010 Warehouse 1,10,1
offer283,Budget Stationery MER000010 Warehouse 1,10,1
offer284,Budget Stationery MER000010 Warehouse 1,10,1
offer285,Budget Stationery MER000010 Warehouse 1,10,0
offer286,Budget Stationery MER000010 Warehouse 1,10,1
offer287,Budget Stationery MER000010 Warehouse 1,10,0
offer288,Budget Stationery MER000010 Warehouse 1,10,0
offer289,Budget Stationery MER000010 Warehouse 1,10,0
offer290,Budget Stationery MER000010 Warehouse 1,10,0
offer291,Budget Stationery MER000010 Warehouse 1,10,1
offer292,Budget Stationery MER000010 Warehouse 1,10,1
offer293,Budget Stationery MER000010 Warehouse 1,10,0
offer294,Budget Stationery MER000010 Warehouse 1,10,0
offer295,Budget Stationery MER000010 Warehouse 1,10,0
offer296,Budget Stationery MER000010 Warehouse 1,10,1
offer297,Budget Stationery MER000010 Warehouse 1,10,0
offer298,Budget Stationery MER000010 Warehouse 1,10,1
offer299,Budget Stationery MER000010 Warehouse 1,10,0
offer300,Budget Stationery MER000010 Warehouse 1,10,0
offer301,Budget Stationery MER000010 Warehouse 1,10,1
offer302,Budget Stationery MER000010 Warehouse 1,10,0
offer303,Budget Stationery MER000010 Warehouse 1,10,1
offer304,Budget Stationery MER000010 Warehouse 1,10,0
offer305,Budget Stationery MER000010 Warehouse 1,10,0
offer306,Budget Stationery MER000010 Warehouse 1,10,1
offer307,Budget Stationery MER000010 Warehouse 1,10,0
offer308,Budget Stationery MER000010 Warehouse 1,10,0
offer309,Budget Stationery MER000010 Warehouse 1,10,1
offer310,Budget Stationery MER000010 Warehouse 1,10,1
offer311,Budget Stationery MER000010 Warehouse 1,10,0
offer312,Budget Stationery MER000010 Warehouse 1,10,0
offer313,Budget Stationery MER000010 Warehouse 1,10,1
offer314,Budget Stationery MER000010 Warehouse 1,10,0
offer315,Budget Stationery MER000010 Warehouse 1,10,1
offer316,Budget Stationery MER000010 Warehouse 1,10,0
offer317,Budget Stationery MER000010 Warehouse 1,10,1
offer318,Budget Stationery MER000010 Warehouse 1,10,0
offer319,Budget Stationery MER000010 Warehouse 1,10,0
offer320,Budget Stationery MER000010 Warehouse 1,10,0
offer321,Budget Stationery MER000010 Warehouse 1,10,0
offer322,Budget Stationery MER000010 Warehouse 1,10,0
offer323,Budget Stationery MER000010 Warehouse 1,10,0
offer324,Budget Stationery MER000010 Warehouse 1,10,1
offer325,Budget Stationery MER000010 Warehouse 1,10,1
offer326,Budget Stationery MER000010 Warehouse 1,10,1
offer327,Budget Stationery MER000010 Warehouse 1,10,0
offer328,Budget Stationery MER000010 Warehouse 1,10,0
offer329,Budget Stationery MER000010 Warehouse 1,10,1
offer330,Budget Stationery MER000010 Warehouse 1,10,1
offer331,Budget Stationery MER000010 Warehouse 1,10,1
offer332,Budget Stationery MER000010 Warehouse 1,10,1
offer333,Budget Stationery MER000010 Warehouse 1,10,0
offer334,Budget Stationery MER000010 Warehouse 1,10,1
offer335,Budget Stationery MER000010 Warehouse 1,10,1
offer336,Budget Stationery MER000010 Warehouse 1,10,0
offer337,Budget Stationery MER000010 Warehouse 1,10,1
offer338,Budget Stationery MER000010 Warehouse 1,10,0
offer339,Budget Stationery MER000010 Warehouse 1,10,0
offer340,Budget Stationery MER000010 Warehouse 1,10,0
offer341,Budget Stationery MER000010 Warehouse 1,10,0
offer342,Budget Stationery MER000010 Warehouse 1,10,1
offer343,Budget Stationery MER000010 Warehouse 1,10,0
offer344,Budget Stationery MER000010 Warehouse 1,10,0
offer345,Budget Stationery MER000010 Warehouse 1,10,1
offer346,Computer Experts MER000011 Warehouse 1,10,1
offer347,Computer Experts MER000011 Warehouse 1,10,1
offer348,Computer Experts MER000011 Warehouse 1,10,1
offer349,Computer Experts MER000011 Warehouse 1,10,0
offer350,Computer Experts MER000011 Warehouse 1,10,1
offer351,Computer Experts MER000011 Warehouse 1,10,1
offer352,Computer Experts MER000011 Warehouse 1,10,0
offer353,Computer Experts MER000011 Warehouse 1,10,1
offer354,Computer Experts MER000011 Warehouse 1,10,0
offer355,Computer Experts MER000011 Warehouse 1,10,1
offer356,Computer Experts MER000011 Warehouse 1,10,0
offer357,Computer Experts MER000011 Warehouse 1,10,1
offer358,Computer Experts MER000011 Warehouse 1,10,1
offer359,Computer Experts MER000011 Warehouse 1,10,0
offer360,Computer Experts MER000011 Warehouse 1,10,1
offer361,Computer Experts MER000011 Warehouse 1,10,1
offer362,Computer Experts MER000011 Warehouse 1,10,1
offer363,Computer Experts MER000011 Warehouse 1,10,0
offer364,Computer Experts MER000011 Warehouse 1,10,1
offer365,Computer Experts MER000011 Warehouse 1,10,0
offer366,Computer Experts MER000011 Warehouse 1,10,1
offer367,Computer Experts MER000011 Warehouse 1,10,1
offer368,Computer Experts MER000011 Warehouse 1,10,0
offer369,Computer Experts MER000011 Warehouse 1,10,0
offer370,Computer Experts MER000011 Warehouse 1,10,1
offer371,Computer Experts MER000011 Warehouse 1,10,0
offer372,Computer Experts MER000011 Warehouse 1,10,0
offer373,Computer Experts MER000011 Warehouse 1,10,0
offer374,Computer Experts MER000011 Warehouse 1,10,1
offer375,Computer Experts MER000011 Warehouse 1,10,0
offer376,Computer Experts MER000011 Warehouse 1,10,1
offer377,Computer Experts MER000011 Warehouse 1,10,1
offer378,Computer Experts MER000011 Warehouse 1,10,1
offer379,Computer Experts MER000011 Warehouse 1,10,0
offer380,Computer Experts MER000011 Warehouse 1,10,1
offer381,Computer Experts MER000011 Warehouse 1,10,0
offer382,Computer Experts MER000011 Warehouse 1,10,1
offer383,Computer Experts MER000011 Warehouse 1,10,1
offer384,Computer Experts MER000011 Warehouse 1,10,0
offer385,Computer Experts MER000011 Warehouse 1,10,0
offer386,Computer Experts MER000011 Warehouse 1,10,1
offer387,Computer Experts MER000011 Warehouse 1,10,0
offer388,Computer Experts MER000011 Warehouse 1,10,0
offer389,Computer Experts MER000011 Warehouse 1,10,1
offer390,Computer Experts MER000011 Warehouse 1,10,1
offer391,Computer Experts MER000011 Warehouse 1,10,1
offer392,Computer Experts MER000011 Warehouse 1,10,0
offer393,Computer Experts MER000011 Warehouse 1,10,1
offer394,Computer Experts MER000011 Warehouse 1,10,1
offer395,Computer Experts MER000011 Warehouse 1,10,0
offer425,Computer Experts MER000011 Warehouse 1,10,1
offer426,Computer Experts MER000011 Warehouse 1,10,1
offer427,Computer Experts MER000011 Warehouse 1,10,1
offer428,Computer Experts MER000011 Warehouse 1,10,1
offer429,Computer Experts MER000011 Warehouse 1,10,1
offer430,Computer Experts MER000011 Warehouse 1,10,1
offer431,Computer Experts MER000011 Warehouse 1,10,1
offer432,Computer Experts MER000011 Warehouse 1,10,1
offer433,Computer Experts MER000011 Warehouse 1,10,1
offer434,Computer Experts MER000011 Warehouse 1,10,1
offer435,Computer Experts MER000011 Warehouse 1,10,1
offer436,Computer Experts MER000011 Warehouse 1,10,1
offer437,Computer Experts MER000011 Warehouse 1,10,1
offer438,Computer Experts MER000011 Warehouse 1,10,1
offer439,Computer Experts MER000011 Warehouse 1,10,1
offer440,Computer Experts MER000011 Warehouse 1,10,1
POF00136,ThermoTech Solutions MRC0001 Warehouse 1,250,0
POF00137,EcoHeat Systems MRC0002 Warehouse 1,209,0
POF00138,BoilerExperts Ltd MRC0003 Warehouse 1,116,0
POF00139,GreenSteam Supplies MRC0004 Warehouse 1,286,0
POF00140,Industrial Thermal Co MRC0005 Warehouse 1,299,0
POF00141,ThermoTech Solutions MRC0001 Warehouse 1,283,0
POF00142,EcoHeat Systems MRC0002 Warehouse 1,133,0
POF00143,BoilerExperts Ltd MRC0003 Warehouse 1,276,0
POF00144,GreenSteam Supplies MRC0004 Warehouse 1,285,1
POF00145,Industrial Thermal Co MRC0005 Warehouse 1,135,0
POF00146,ThermoTech Solutions MRC0001 Warehouse 1,299,0
POF00147,EcoHeat Systems MRC0002 Warehouse 1,224,0
POF00148,BoilerExperts Ltd MRC0003 Warehouse 1,231,0
POF00149,GreenSteam Supplies MRC0004 Warehouse 1,139,1
POF00150,Industrial Thermal Co MRC0005 Warehouse 1,173,0
POF00151,ThermoTech Solutions MRC0001 Warehouse 1,223,0
POF00152,EcoHeat Systems MRC0002 Warehouse 1,208,0
POF00153,BoilerExperts Ltd MRC0003 Warehouse 1,291,0
POF00154,GreenSteam Supplies MRC0004 Warehouse 1,244,0
POF00155,Industrial Thermal Co MRC0005 Warehouse 1,210,0
POF00156,ThermoTech Solutions MRC0001 Warehouse 1,260,1
POF00157,EcoHeat Systems MRC0002 Warehouse 1,290,1
POF00158,BoilerExperts Ltd MRC0003 Warehouse 1,111,0
POF00159,GreenSteam Supplies MRC0004 Warehouse 1,186,1
POF00160,Industrial Thermal Co MRC0005 Warehouse 1,189,0
POF00161,ThermoTech Solutions MRC0001 Warehouse 1,266,0
POF00162,EcoHeat Systems MRC0002 Warehouse 1,189,1
POF00163,BoilerExperts Ltd MRC0003 Warehouse 1,215,1
POF00164,GreenSteam Supplies MRC0004 Warehouse 1,245,0
POF00165,Industrial Thermal Co MRC0005 Warehouse 1,196,1
POF00166,ThermoTech Solutions MRC0001 Warehouse 1,248,0
POF00167,EcoHeat Systems MRC0002 Warehouse 1,226,1
POF00168,BoilerExperts Ltd MRC0003 Warehouse 1,169,0
POF00169,GreenSteam Supplies MRC0004 Warehouse 1,251,1
POF00170,Industrial Thermal Co MRC0005 Warehouse 1,300,0
POF00171,ThermoTech Solutions MRC0001 Warehouse 1,250,0
POF00172,EcoHeat Systems MRC0002 Warehouse 1,224,0
POF00173,BoilerExperts Ltd MRC0003 Warehouse 1,134,0
POF00174,GreenSteam Supplies MRC0004 Warehouse 1,248,1
POF00175,Industrial Thermal Co MRC0005 Warehouse 1,138,0
POF00176,ThermoTech Solutions MRC0001 Warehouse 1,182,0
POF00177,EcoHeat Systems MRC0002 Warehouse 1,278,0
POF00178,BoilerExperts Ltd MRC0003 Warehouse 1,207,1
POF00179,GreenSteam Supplies MRC0004 Warehouse 1,265,0
POF00180,Industrial Thermal Co MRC0005 Warehouse 1,134,0
POF00181,ThermoTech Solutions MRC0001 Warehouse 1,163,0
POF00182,EcoHeat Systems MRC0002 Warehouse 1,160,1
POF00183,BoilerExperts Ltd MRC0003 Warehouse 1,290,1
POF00184,GreenSteam Supplies MRC0004 Warehouse 1,239,1
POF00185,Industrial Thermal Co MRC0005 Warehouse 1,252,1
POF00186,ThermoTech Solutions MRC0001 Warehouse 1,295,1
POF00187,EcoHeat Systems MRC0002 Warehouse 1,165,1
POF00188,BoilerExperts Ltd MRC0003 Warehouse 1,163,1
POF00189,GreenSteam Supplies MRC0004 Warehouse 1,261,0
POF00190,Industrial Thermal Co MRC0005 Warehouse 1,273,0
POF00191,ThermoTech Solutions MRC0001 Warehouse 1,240,1
POF00192,EcoHeat Systems MRC0002 Warehouse 1,240,0
POF00193,BoilerExperts Ltd MRC0003 Warehouse 1,198,1
POF00194,GreenSteam Supplies MRC0004 Warehouse 1,253,1
POF00195,Industrial Thermal Co MRC0005 Warehouse 1,105,1
POF00196,ThermoTech Solutions MRC0001 Warehouse 1,144,0
POF00197,EcoHeat Systems MRC0002 Warehouse 1,173,0
POF00198,BoilerExperts Ltd MRC0003 Warehouse 1,239,0
POF00199,GreenSteam Supplies MRC0004 Warehouse 1,259,1
POF00200,Industrial Thermal Co MRC0005 Warehouse 1,226,1
POF00201,ThermoTech Solutions MRC0001 Warehouse 1,129,0
POF00202,EcoHeat Systems MRC0002 Warehouse 1,231,1
POF00203,BoilerExperts Ltd MRC0003 Warehouse 1,134,0
POF00204,GreenSteam Supplies MRC0004 Warehouse 1,214,1
POF00205,Industrial Thermal Co MRC0005 Warehouse 1,263,1
POF00206,ThermoTech Solutions MRC0001 Warehouse 1,161,0
POF00207,EcoHeat Systems MRC0002 Warehouse 1,135,0
POF00208,BoilerExperts Ltd MRC0003 Warehouse 1,235,0
POF00209,GreenSteam Supplies MRC0004 Warehouse 1,106,1
POF00210,Industrial Thermal Co MRC0005 Warehouse 1,275,1
POF00211,ThermoTech Solutions MRC0001 Warehouse 1,105,1
POF00212,EcoHeat Systems MRC0002 Warehouse 1,127,0
POF00213,BoilerExperts Ltd MRC0003 Warehouse 1,297,0
POF00214,GreenSteam Supplies MRC0004 Warehouse 1,244,0
POF00215,Industrial Thermal Co MRC0005 Warehouse 1,272,0
POF00216,ThermoTech Solutions MRC0001 Warehouse 1,226,0
POF00217,EcoHeat Systems MRC0002 Warehouse 1,177,1
POF00218,BoilerExperts Ltd MRC0003 Warehouse 1,150,0
POF00219,GreenSteam Supplies MRC0004 Warehouse 1,261,0
POF00220,Industrial Thermal Co MRC0005 Warehouse 1,185,0
POF00221,ThermoTech Solutions MRC0001 Warehouse 1,149,1
POF00222,EcoHeat Systems MRC0002 Warehouse 1,236,1
POF00223,BoilerExperts Ltd MRC0003 Warehouse 1,189,1
POF00224,GreenSteam Supplies MRC0004 Warehouse 1,205,1
POF00225,Industrial Thermal Co MRC0005 Warehouse 1,261,0
POF00226,ThermoTech Solutions MRC0001 Warehouse 1,162,1
POF00227,EcoHeat Systems MRC0002 Warehouse 1,244,0
POF00228,BoilerExperts Ltd MRC0003 Warehouse 1,169,1
POF00229,GreenSteam Supplies MRC0004 Warehouse 1,202,0
POF00230,Industrial Thermal Co MRC0005 Warehouse 1,154,0
POF00231,ThermoTech Solutions MRC0001 Warehouse 1,270,0
POF00232,EcoHeat Systems MRC0002 Warehouse 1,272,1
POF00233,BoilerExperts Ltd MRC0003 Warehouse 1,226,1
POF00234,GreenSteam Supplies MRC0004 Warehouse 1,265,1
POF00235,Industrial Thermal Co MRC0005 Warehouse 1,259,0
POF00236,ThermoTech Solutions MRC0001 Warehouse 1,171,0
POF00237,EcoHeat Systems MRC0002 Warehouse 1,159,1
